Obteniendo ofertas de servicios...
OK
ID                                                                   Nombre                                                     Proveedor                           Etiquetas   
6ad34583-a736-4bbe-9d39-940fdb7573f6                                 accern-api                                                 Accern                              dev_ops,devops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
c466e218-9188-4562-9af5-fc7e0dc790c5                                 accesstrail                                                IBM                                 dev_ops,eu_access,gc_migrate,ibm_created,ibm_dedication_public,ibm_deprecated,lite,security   
b015f9c4-c60a-4f66-abc6-c9b0e6b7f35e                                 accountscore                                               AccountScore Holdings Limited       data_analytics,gc_migrate,ibm_dedicated_public,ibm_third_party   
2ad019f3-0fd6-4c25-966d-f3952481a870                                 aiopenscale                                                IBM                                 apidocs_enabled,ibm_created,lite,rc_compatible,watson   
AlertNotification-8d3cff7f-bb94-1444678145000                        alertnotification                                          IBM                                 apidocs_enabled,dev_ops,gc_migrate,ibm_created,ibm_dedicated_public,ibm_deprecated   
d9ba7486-1a10-4a6d-86e6-ef0cf69bad85                                 alloy                                                      First Mile Group Inc. d/b/a Alloy   dev_ops,devops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
76fc0390-9024-11e8-b6c2-8d7309120d29                                 api-gateway                                                IBM                                 api-gateway,apidocs_enabled,dev_ops,devops,ibm_created,ibm_release,lite,rc_compatible   
api-connect                                                          apiconnect                                                 IBM                                 apidocs_enabled,apis,bluemix_extensions,eu_access,ibm_created,ibm_release,integration,private,rc_compatible   
96a0ebf2-2a02-4e32-815f-7c09a1268c78                                 appconnect                                                 IBM                                 ibm_created,ibm_release,integration,lite   
AdvancedMobileAccess-d6aece47-d840-45b0-8ab9-ad15354deeea            appid                                                      IBM                                 apidocs_enabled,disable_reclamation,eu_access,financial services,fs cloud,fs_ready,fss,hipaa,ibm_created,security   
apprapp-d6aece47-d840-45b0-8ab9-ad15354deeea                         apprapp                                                    IBM                                 apidocs_enabled,dev_ops,free,ibm_beta,ibm_created,mobile,rc_compatible,web_and_app   
8514c706-225d-4848-a689-7c0a0bdcca17                                 at-t-flow-designer                                         AT&T                                ibm_dedicated_public,ibm_third_party,internet_of_things   
